رتبه,تیم,بازی,برد,مساوی,باخت,گل زده,گل خورده,امتیاز,توضیحات
1,شموشک نوشهر,30,15,12,3,36,19,57,صعود به لیگ برتر فوتبال ایران ۸۳–۱۳۸۲
2,پگاه گیلان,30,15,8,7,37,22,53,صعود به لیگ برتر فوتبال ایران ۸۳–۱۳۸۲
3,تراکتورسازی,30,14,8,8,32,22,50,
4,پیام مشهد,30,12,15,4,29,17,49 [51?],
5,عقاب تهران,30,12,10,8,39,28,46,
6,صبا باتری,30,11,11,8,32,25,44,
7,شهاب زنجان,30,11,11,8,30,25,44,
8,هما,30,10,10,10,26,26,40,
9,ماشین سازی تبریز,30,9,11,10,40,39,38,
10,برق تهران,30,10,7,13,29,32,37,
11,راه‌آهن,30,9,9,12,21,29,36,
12,تربیت خراسان,30,7,10,13,26,38,31,
13,نساجی مازندران,30,8,7,15,27,42,31,
14,مس کرمان,30,6,12,12,23,28,30,
15,فجر سپاه تهران,30,6,11,13,30,40,29,سقوط به لیگ دو
16,نیروی زمینی تهران,30,4,10,16,19,39,22,سقوط به لیگ دو
