رتبه,تیم,بازی,برد,مساوی,باخت,گل زده,گل خورده,امتیاز,توضیحات
1,استقلال اهواز,6,3,1,2,7,4,10,صعود به لیگ برتر فوتبال ایران ۸۲–۱۳۸۱
2,صنعت نفت آبادان,6,2,3,1,4,2,9,صعود به لیگ برتر فوتبال ایران ۸۲–۱۳۸۱
3,شموشک نوشهر,6,2,1,3,2,5,7,
4,نساجی مازندران,6,1,3,2,3,5,6,
