رتبه,تیم,بازی,برد,مساوی,باخت,گل زده,گل خورده,امتیاز,توضیحات
1,نساجی مازندران,20,10,6,4,26,15,36,صعود به دور دوم
2,شموشک نوشهر,20,8,10,2,15,7,34,صعود به دور دوم
3,ماشین سازی تبریز,20,9,5,6,28,19,32,
4,برق تهران,20,9,4,7,25,20,31,
5,هما,20,8,7,5,23,18,31,
6,پیام مشهد,20,7,9,4,33,15,30,
7,سایپا زنجان,20,7,6,7,25,21,27,
8,پارت سازان مشهد,20,6,5,9,17,26,23,
9,آرارات تهران,20,5,7,8,12,18,22,سقوط به لیگ دو
10,چوکای تالش,20,4,4,12,17,37,16,سقوط به لیگ دو
11,ایرسوتر نوشهر,20,4,3,13,17,42,15,سقوط به لیگ دو
