رتبه,تیم,بازی,برد,مساوی,باخت,زده,خورده,تفاضل,امتیاز,جایگاه,توضیحات
1,نفت مسجد سلیمان,34,18,11,5,46,25,+21,47,صعود به لیگ برتر ۹۸-۱۳۹۷,
2,نساجی مازندران,34,19,7,8,49,26,+23,45,صعود به لیگ برتر ۹۸-۱۳۹۷,
3,خونه به خونه,34,17,13,4,39,17,+22,47,,
4,فجر سپاسی,34,18,7,9,49,25,+24,43,,
5,بادران,34,15,14,5,54,32,+22,44,,
6,ملوان,34,13,16,5,39,26,+13,42,,
7,گل گهر سیرجان,34,13,13,8,47,35,+12,39,,
8,مس کرمان,34,15,7,12,37,33,+4,37,,
9,اکسین البرز,34,13,12,9,40,27,+13,38,,
10,مس رفسنجان,33,10,15,8,31,29,+2,35,,
11,شهرداری ماهشهر,34,11,8,15,42,43,−1,30,,
12,برق جدید فارس,34,10,11,13,30,34,−4,31,,
13,آلومینیوم اراک,34,8,15,11,29,34,−5,31,,
14,شهرداری تبریز,34,10,8,16,36,45,−9,28,,
15,ماشین سازی,34,8,13,13,27,33,−6,29,,
16,ایرانجوان بوشهر,34,8,9,17,33,49,−16,25,سقوط به لیگ دو ۹۸-۱۳۹۷,
17,صبای قم,33,1,9,23,24,83,−59,11,سقوط به لیگ دو ۹۸-۱۳۹۷,
18,راه آهن,34,2,4,28,15,71,−56,8,سقوط به لیگ دو ۹۸-۱۳۹۷,
