Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation
1,Foolad Khuzestan,22,13,5,4,33,15,+18,44,Azadegan League 2007–08 Play Off
2,Sepahan Novin,22,11,7,4,28,18,+10,40,Azadegan League 2007–08 Play Off
3,Tarbiat Yazd,22,11,4,7,36,29,+7,37,
4,Mes Rafsanjan,22,9,7,6,34,26,+8,34,
5,Nassaji Mazandaran,22,10,4,8,27,30,−3,34,
6,Sh. Tabriz,22,7,6,9,20,23,−3,27,
7,Etka Gorgan,22,6,8,8,28,34,−6,26,
8,Shahin Bushehr,22,6,7,9,22,24,−2,25,
9,Kowsar Tehran,22,5,10,7,21,25,−4,25,
10,Sanaye Arak,22,6,5,11,19,24,−5,23,
11,Machine Sazi,22,3,12,7,15,25,−10,21,Relegation to 2008-09 Iran Football's 2nd Division
12,Homa,22,4,7,11,17,27,−10,19,Relegation to 2008-09 Iran Football's 2nd Division
