رتبه,تیم,بازی,برد,مساوی,باخت,زده,خورده,تفاضل,امتیاز,جایگاه,توضیحات
1,شهرداری تبریز (C) (P),26,18,8,0,43,11,+32,44,صعود به لیگ برتر فوتبال ایران ۹۰–۱۳۸۹,
2,صنعت نفت (P),26,13,6,7,38,26,+12,32,Azadegan League 2009-10&#32;Play Off,
3,تربیت یزد,26,12,8,6,29,18,+11,32,,
4,سپاهان نوین,26,12,5,9,42,31,+11,29,,
5,اتکا,26,9,10,7,21,21,0,28,,
6,شهرداری بندرعباس,26,9,9,8,34,25,+9,27,,
7,مس رفسنجان,26,8,12,6,30,24,+6,28,,
8,پیام مشهد,26,9,7,10,33,36,−3,25,,
9,صنعتی کاوه,26,9,7,10,27,30,−3,25,,
10,ایرانجوان,26,8,8,10,31,34,−3,24,,
11,داماش لرستان,26,7,8,11,23,33,−10,22,,
12,پیام مخابرات,26,7,7,12,23,30,−7,21,,
13,شهرداری نوشهر (R),26,6,8,12,29,37,−8,20,سقوط به لیگ دسته دوم فوتبال ایران ۹۰–۱۳۸۹,
14,شاهین اهواز (R),26,1,5,20,11,58,−47,7,سقوط به لیگ دسته دوم فوتبال ایران ۹۰–۱۳۸۹,
