رتبه,تیم,بازی,برد,مساوی,باخت,زده,خورده,تفاضل,امتیاز,جایگاه,توضیحات
1,نفت تهران (C) (P),26,13,10,3,33,16,+17,36,صعود به لیگ برتر فوتبال ایران ۹۰–۱۳۸۹,
2,داماش گیلان,26,14,6,6,38,26,+12,34,Azadegan League 2009-10&#32;Play Off,
3,برق شیراز,26,14,6,6,33,23,+10,34,,
4,آلومینیوم هرمزگان,26,10,10,6,32,33,−1,30,,
5,مس سرچشمه,26,9,10,7,32,25,+7,28,,
6,شیرین فراز,26,9,10,7,30,26,+4,28,,
7,نساجی مازندران,26,8,10,8,27,26,+1,26,,
8,گسترش فولاد,26,9,7,10,34,34,0,25,,
9,مهرکام پارس,26,9,5,12,22,28,−6,23,,
10,گل گهر,26,8,6,12,30,32,−2,22,,
11,شنسا اراک,26,7,8,11,24,29,−5,22,,
12,پتروشیمی تبریز,26,7,8,11,23,31,−8,22,,
13,فولاد نوین (R),26,8,5,13,26,36,−10,21,سقوط به لیگ دسته دوم فوتبال ایران ۹۰–۱۳۸۹,
14,کوثر لرستان (R),26,3,7,16,22,41,−19,13,سقوط به لیگ دسته دوم فوتبال ایران ۹۰–۱۳۸۹,
