0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
میزبان ╲ میهمان,داماش,اتکا,ایر,مس.ر,پیا,مخابر,صنآ,کاوه,سپانو,شاهین,عباس,شهر,شنو,تربیت
داماش گیلان,,۰–۰,۰–۰,۱–۲,۲–۲,۲–۱,۱–۲,۱–۱,۰–۲,۳–۰,۰–۰,۰–۰,۲–۱,۲–۱
اتکا گلستان,۱–۰,,۰–۰,۰–۱,۱–۰,۲–۰,۲–۲,۰–۲,۰–۳,۱–۰,۰–۰,۱–۱,۰–۲,۰–۰
ایران جوان,۳–۱,۱–۲,,۲–۱,۱–۳,۲–۰,۰–۰,۱–۲,۲–۱,۳–۰,۱–۱,۰–۵,۲–۱,۱–۰
مس رفسنجان,۲–۰,۱–۱,۲–۲,,۲–۲,۱–۱,۱–۳,۱–۱,۱–۰,۳–۰,۱–۰,۱–۱,۱–۱,۰–۱
پیام,۱–۰,۲–۱,۲–۲,۱–۱,,۱–۰,۱–۱,۱–۰,۲–۳,۰–۰,۲–۰,۰–۲,۳–۰,۱–۴
پیام مخابرات,۰–۰,۰–۰,۱–۰,۱–۰,۲–۴,,۲–۱,۰–۲,۲–۲,۲–۰,۱–۰,۰–۱,۴–۱,۰–۱
صنعت نفت,۱–۲,۲–۱,۲–۰,۱–۱,۳–۰,۴–۱,,۲–۰,۰–۱,۱–۰,۲–۱,۰–۲,۱–۰,۰–۰
صنعتی کاوه,۰–۱,۱–۱,۱–۰,۰–۰,۴–۲,۰–۲,۰–۱,,۱–۲,۰–۰,۳–۲,۱–۲,۰–۰,۰–۰
سپاهان نوین,۳–۰,۱–۲,۱–۱,۰–۲,۰–۱,۱–۱,۲–۱,۳–۱,,۳–۰,۲–۲,۱–۱,۲–۱,۲–۱
شاهین اهواز,۱–۳,۰–۱,۰–۳,۰–۲,۱–۰,۰–۰,۱–۲,۱–۲,۱–۴,,۱–۶,۱–۲,۱–۱,۰–۰
شهرداری بندرعباس,۴–۰,۰–۱,۱–۰,۱–۰,۲–۱,۰–۰,۳–۲,۱–۲,۳–۲,۰–۰,,۰–۰,۲–۰,۱–۱
شهرداری تبریز,۲–۲,۱–۰,۱–۰,۱–۰,۲–۰,۱–۰,۰–۰,۲–۱,۱–۰,۷–۱,۲–۰,,۱–۰,۳–۱
شهرداری نوشهر,۱–۰,۱–۱,۱–۱,۳–۳,۱–۱,۳–۲,۲–۳,۰–۱,۲–۱,۴–۱,۰–۰,۱–۲,,۱–۰
تربیت یزد,۱–۰,۰–۲,۴–۲,۰–۰,۱–۰,۱–۰,۱–۰,۴–۱,۲–۰,۲–۰,۱–۱,۰–۰,۲–۱,
