رتبه,تیم,بازی,برد,مساوی,باخت,زده,خورده,تفاضل,امتیاز,توضیحات
۱,پدیده (ق) (ص),۲۴,۱۲,۱۰,۲,۳۲,۱۵,۱۷+,۴۶,صعود به لیگ برتر ۹۴–۱۳۹۳
۲,سیاه‌جامگان (۱/۴),۲۴,۱۲,۹,۳,۲۷,۱۷,۱۰+,۴۵,رفتن به یک چهارم
۳,نساجی مازندران,۲۴,۱۰,۷,۷,۲۷,۲۲,۵+,۳۷,
۴,صنعت نفت,۲۴,۹,۸,۷,۲۴,۲۰,۴+,۳۵,
۵,گیتی پسند,۲۴,۹,۸,۷,۲۹,۲۸,۱+,۳۵,
۶,شهرداری بندرعباس,۲۴,۹,۶,۹,۲۳,۲۱,۲+,۳۳,
۷,گل گهر,۲۴,۸,۸,۸,۲۹,۲۲,۷+,۳۲,
۸,استقلال اهواز,۲۴,۷,۱۰,۷,۲۷,۲۹,۲-,۳۱,
۹,نیروی زمینی,۲۴,۹,۱۴,۱,۲۵,۲۷,۲۲-,۳۱,
۱۰,فولاد یزد,۲۴,۶,۱۱,۷,۲۰,۱۸,۲+,۲۹,
۱۱,شهرداری یاسوج (س),۲۴,۶,۱۰,۸,۲۱,۲۳,۲-,۲۸,سقوط به لیگ دسته دوم ۹۴-۱۳۹۳
۱۲,الوند همدان (س),۲۴,۵,۷,۱۲,۲۳,۳۴,۱۱-,۲۲,سقوط به لیگ دسته دوم ۹۴-۱۳۹۳
۱۳,گهر زاگرس (س),۲۴,۲,۶,۱۶,۱۵,۴۶,۳۱-,۱۲,سقوط به لیگ دسته دوم ۹۴-۱۳۹۳
