رتبه,تیم,بازی,برد,مساوی,باخت,گل زده,گل خورده,تفاضل گل,امتیاز,توضیحات
1,پیام مشهد,22,13,6,3,40,33,7,45,صعود به دور دوم
2,صنعت نفت آبادان,22,12,4,6,34,22,12,40,صعود به دور دوم
3,هما,22,11,6,5,42,22,20,39,
4,سرخپوشان,22,11,6,5,28,18,10,39,
5,عقاب تهران,22,10,4,8,32,18,14,34,
6,شهاب زنجان,22,9,6,7,31,30,1,33,
7,صنایع اراک,22,8,8,6,32,27,5,32,
8,کاوه تهران,22,8,4,10,28,30,-2,28,
9,ماشین سازی تبریز,22,6,8,8,18,21,-3,24,
10,ایران‌جوان بوشهر,22,5,9,8,18,21,-3,24,
11,نیروی زمینی,22,3,5,14,16,36,-20,14,پلی آف
12,شهرداری کرمان,22,2,2,18,9,59,-50,8,سقوط به لیگ دو
