رتبه,تیم,بازی,برد,مساوی,باخت,گل زده,گل خورده,تفاضل گل,امتیاز,توضیحات
1,شهید قندی یزد,6,3,2,1,16,8,8,11,صعود به لیگ برتر فوتبال ایران ۸۵–۱۳۸۴
2,راه‌آهن,6,2,3,1,13,7,6,9,صعود به لیگ برتر فوتبال ایران ۸۵–۱۳۸۴
3,صنعت نفت آبادان,6,2,3,1,9,8,1,9,ماندن در لیگ آزادگان
4,پیام مشهد,6,-,2,4,5,10,-5,2,ماندن در لیگ آزادگان
