Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation
1,Pegah,22,15,3,4,42,12,+30,48,Promoted Second Round
2,Tractor Sazi,22,14,5,3,33,16,+17,47,Second place playoff
3,Homa,22,14,5,3,30,16,+14,47,Second place playoff
4,Oghab,22,8,8,6,28,26,+2,32,
5,Sanaye Arak,22,8,5,9,30,34,−4,29,
6,Keshto Sannat,22,7,7,8,29,32,−3,28,
7,Niroye Zamini,22,6,8,8,25,30,−5,26,
8,Shahab Zanjan,22,7,4,11,25,32,−7,25,
9,Deyhim Ahvaz,22,6,6,10,28,31,−3,24,
10,Ekbatan,22,4,9,9,20,28,−8,21,Relegation playoff
11,Nozhan,22,4,8,10,12,22,−10,20,Relegation playoff
12,Iranjavan,22,3,4,15,19,44,−25,13,Relegation to 2006-07 Iran Football's 2nd Division
