Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation
1,Mes Kerman,22,12,7,3,30,13,+17,43,Promoted Second Round
2,Paykan,22,11,7,4,28,11,+17,40,Promoted Second Round
3,Sanat Naft,22,11,5,6,27,14,+13,38,
4,Shahin Bushehr,22,11,2,9,30,28,+2,35,
5,Moghavemat Mersad,22,10,4,8,28,25,+3,34,
6,Sorkhpooshan,22,8,7,7,27,24,+3,31,
7,Pegah Shush,22,5,12,5,24,21,+3,27,
8,Est. Kish,22,7,4,11,25,32,−7,25,
9,Machine Sazi,22,6,7,9,21,36,−15,25,
10,Payam Mashhad,22,6,6,10,21,30,−9,24,
11,Bargh Tehran,22,5,6,11,19,25,−6,21,Relegation to 2006-07 Iran Football's 2nd Division
12,Sh. Langarud,22,2,6,14,17,39,−22,12,Relegation to 2006-07 Iran Football's 2nd Division
