رده,تیم,بازیها,برد,مساوی,باخت,گل زده,گل خورده,تفاضل گل,امتیاز,صعود یا سقوط
۱,فولاد نوین (ق),۲۲,۱۲,۶,۴,۳۶,۱۹,۱۷+,۴۲,سقوط به لیگ دسته دوم ۹۵–۱۳۹۴ (انتقال امتیاز به استقلال اهواز پس از از پایان فصل)
۲,مس کرمان,۲۲,۱۰,۶,۶,۲۳,۱۸,۵+,۳۶,مرحله حذفی
۳,نساجی مازندران,۲۲,۹,۷,۶,۲۳,۲۰,۳+,۳۴,
۴,آلومینیوم,۲۲,۸,۸,۶,۲۱,۸,۳+,۳۲,
۵,فجر سپاسی,۲۲,۷,۹,۶,۲۲,۱۷,۵+,۳۰,
۶,ش.اردبیل,۲۲,۸,۶,۸,۲۴,۲۳,۱+,۳۰,
۷,گیتی پسند,۲۲,۷,۸,۷,۲۶,۲۲,۴+,۲۹,
۸,ایرانجوان,۲۲,۷,۸,۷,۱۹,۲۱,۲-,۲۹,
۹,استقلال اهواز,۲۲,۸,۵,۹,۱۵,۱۹,۴-,۲۹,صعود به لیگ برتر فوتبال ایران ۹۵–۱۳۹۴
۱۰,نیروی زمینی,۲۲,۷,۷,۸,۱۶,۱۷,۱-,۲۸,بازی حذفی برای صعود به لیگ آزادگان ۹۵–۱۳۹۴
۱۱,نفت گچساران (س),۲۲,۶,۷,۹,۲۲,۲۸,۶–,۲۵,سقوط به لیگ دسته دوم ۹۵–۱۳۹۴
۱۲,تربیت نوین (س),۲۲,۲,۵,۱۵,۸,۳۳,۲۵-,۱۱,سقوط به لیگ دسته دوم ۹۵–۱۳۹۴
