رتبه,تیم,بازی,برد,مساوی,باخت,زده,خورده,تفاضل,امتیاز,جایگاه,توضیحات
1,مس سرچشمه (C),26,14,6,6,34,14,+20,34,صعود به لیگ برتر فوتبال ایران ۹۱-۹۰,
2,آلومینیوم هرمزگان (O),26,13,9,4,29,19,+10,35,پلی آف صعود به لیگ برتر,
3,گسترش فولاد,26,14,6,6,28,22,+6,34,,
4,نساجی مازندران,26,11,9,6,34,17,+17,31,,
5,ابومسلم خراسان,26,11,9,6,28,20,+8,31,,
6,شیرین فراز,26,8,11,7,17,19,−2,27,,
7,صنعت ساری,26,8,11,7,18,24,−6,27,,
8,ایرانجوان,26,8,9,9,29,26,+3,25,,
9,برق شیراز,26,7,11,8,24,25,−1,25,,
10,پیام مخابرات,26,5,12,9,20,22,−2,22,,
11,فولاد یزد,26,7,6,13,23,38,−15,20,,
12,داماش لرستان,26,6,7,13,22,29,−7,19,,
13,استقلال اهواز,26,6,6,14,20,33,−13,18,سقوط به لیگ دسته دوم,
14,سپیدرود رشت,26,4,8,14,21,39,−18,16,سقوط به لیگ دسته دوم,
