0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
ميزبان / ميهمان۱,دام,تکا,نطن,گهر,همی,ماش,مس.ر,مقا,نفت.م.س,پیا,صنع,عبا,شیا,ترب
داماش گیلان,,۱–۰,۱–۱,۲–۱,۲–۰,۱–۱,۴–۱,۳–۲,۳–۱,۳–۰,۳–۱,۱–۰,۴–۳,۱–۱
اتکا,۱–۰,,۳–۱,۱–۰,۴–۱,۱–۱,۱–۱,۱–۲,۲–۱,۱–۰,۱–۰,۳–۱,۰–۰,۳–۰
فولاد نطنز,۱–۱,۰–۰,,۱–۲,۲–۰,۱–۱,۰–۰,۰–۰,۳–۵,۱–۲,۱–۰,۱–۱,۱–۰,۲–۱
گل گهر,۰–۰,۱–۰,۴–۱,,۱–۲,۰–۱,۴–۰,۱–۰,۱–۱,۳–۳,۱–۱,۱–۰,۱–۰,۱–۱
همیاری اراک,۱–۲,۲–۱,۱–۴,۰–۰,,۱–۱,۱–۰,۱–۰,۰–۱,۱–۰,۲–۱,۰–۰,۱–۲,۰–۰
ماشین سازی,۲–۳,۳–۲,۲–۲,۱–۱,۱–۱,,۱–۲,۱–۱,۲–۲,۱–۰,۱–۲,۱–۲,۱–۰,۲–۰
مس رفسنجان,۲–۰,۰–۰,۲–۱,۲–۰,۰–۱,۱–۰,,۱–۲,۱–۰,۰–۲,۴–۰,۰–۰,۱–۰,۰–۰
مقاومت سپاسی,۰–۱,۱–۰,۱–۰,۲–۰,۰–۱,۱–۰,۲–۱,,۱–۰,۱–۰,۰–۰,۱–۰,۱–۱,۳–۰
نفت مسجدسلیمان,۲–۲,۳–۱,۲–۱,۱–۱,۲–۱,۳–۱,۰–۰,۱–۰,,۳–۳,۱–۲,۱–۰,۰–۰,۰–۰
پیام مشهد,۱–۰,۳–۰,۰–۱,۰–۲,۱–۱,۰–۱,۲–۰,۲–۱,۲–۰,,۲–۱,۱–۱,۲–۰,۰–۰
صنعتی کاوه,۱–۱,۲–۱,۱–۱,۲–۲,۲–۱,۰–۱,۱–۱,۰–۰,۰–۰,۱–۰,,۰–۱,۳–۰,۱–۱
شهرداری بندرعباس,۱–۰,۲–۲,۴–۳,۰–۰,۱–۰,۳–۰,۲–۰,۰–۱,۱–۱,۲–۱,۱–۳,,۲–۱,۱–۱
شهرداری یاسوج,۰–۰,۱–۰,۲–۰,۲–۰,۰–۰,۳–۰,۱–۰,۲–۱,۳–۱,۲–۱,۲–۲,۱–۰,,۲–۱
تربیت یزد,۰–۰,۱–۱,۰–۰,۳–۱,۰–۰,۲–۲,۰–۰,۱–۰,۱–۰,۲–۱,۳–۰,۲–۰,۳–۰,
