رتبه,تیم,بازی,برد,مساوی,باخت,زده,خورده,تفاضل,امتیاز,جایگاه,توضیحات
1,داماش گیلان (C),26,13,9,4,39,24,+15,35,صعود به لیگ برتر فوتبال ایران ۹۱-۹۰,
2,مقاومت سپاسی (O),26,12,5,9,24,18,+6,29,پلی آف صعود به لیگ برتر,
3,شهرداری یاسوج,26,11,6,9,28,26,+2,28,,
4,نفت مسجد سلیمان,26,8,11,7,33,32,+1,27,,
5,شهرداری بندرعباس,26,9,8,9,26,26,0,26,,
6,اتکا گلستان,26,9,7,10,30,28,+2,25,,
7,گل‌گهر سیرجان,26,8,10,8,29,27,+2,26,,
8,تربیت یزد,26,6,15,5,24,22,+2,27,,
9,مس رفسنجان,26,8,8,10,20,25,−5,24,,
10,همیاری اراک,26,8,8,10,20,28,−8,24,,
11,صنعتی کاوه,26,7,10,9,27,32,−5,24,,
12,ماشین سازی,26,7,10,9,30,36,−6,24,,
13,پیام مشهد,۲۶,۹,۵,۱۲,۳۰,۳۰,۰,۲۹[۶],سقوط به لیگ دسته دوم,
14,فولاد نطنز,26,6,10,10,30,36,−6,22,سقوط به لیگ دسته دوم,
