Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation
1,Pegah Gilan(Damash Gilan.),22,12,6,4,23,6,+17,42,Advanced to second round
2,Shirin Faraz,22,11,7,4,30,11,+19,40,Advanced to second round
3,Etka,22,11,5,6,34,27,+7,38,
4,Moghavemate Mersad,22,9,6,7,23,16,+7,33,
5,Homa,22,7,9,6,18,17,+1,30,
6,Esteghlal Dezful,22,6,9,7,19,21,−2,27,
7,Mashin Sazi,22,5,11,6,12,15,−3,26,
8,Shardari Tabriz,22,6,7,9,14,21,−7,25,
9,Ekbatan,22,6,7,9,13,24,−11,25,
10,Shahin Bushehr,22,4,12,6,18,22,−4,24,
11,Shemushack,22,5,8,9,15,20,−5,23,
12,Kesht-o-Sanat,22,3,7,12,10,30,−20,16,Relegated to 2007-08 Iran Football's 2nd Division
