Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Promotion or relegation
1,"Foolad Novin (C, P)",22,12,6,4,36,19,+17,42,2015–16 Persian Gulf Pro League
2,Mes Kerman (Q),22,10,6,6,23,18,+5,36,Azadegan League 2014–15 Play Off
3,Nassaji Mazandaran,22,9,7,6,23,20,+3,34,
4,Aluminium Hormozgan,22,8,8,6,21,18,+3,32,
5,Fajr Sepasi,22,7,9,6,22,17,+5,30,
6,Sh. Ardabil,22,8,6,8,24,23,+1,30,
7,Giti Pasand,22,7,8,7,26,22,+4,29,
8,Iranjavan,22,7,8,7,19,21,−2,29,
9,Est. Ahvaz (R),22,8,5,9,15,19,−4,29,Relegation Play Off
10,Niroye Zamini (R),22,7,7,8,16,17,−1,28,Relegation to 2015–16 Iran Football's 2nd Division
11,Naft va Gaz Gachsaran (R),22,6,7,9,22,28,−6,25,Relegation to 2015–16 Iran Football's 2nd Division
12,Tarbiat Yazd (R),22,2,5,15,8,33,−25,11,Relegation to 2015–16 Iran Football's 2nd Division
