0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
میزبان ╲ میهمان,مسلم,پار,اتکا,ف.یزد,گستر,ایر,مس.ر,مخابر,پیک,شمال,ساری,ش.ارا,شبن,اسآ
ابومسلم,,۱–۰,۰–۲,۱–۰,۳–۱,۰–۰,۱–۰,۰–۰,۱–۲,۰–۱,۳–۰,۰–۰,۰–۱,۲–۲
پارسه تهران,۰–۰,,۰–۰,۳–۰,۲–۱,۰–۰,۱–۰,۰–۰,۱–۲,۲–۱,۱–۴,۰–۱,۱–۲,۱–۲
اتکا گلستان,۰–۰,۳–۰,,۰–۱,۰–۰,۰–۱,۰–۱,۰–۲,۱–۰,۱–۰,۲–۱,۲–۱,۲–۰,۱–۲
فولاد یزد,۲–۱,۲–۱,۲–۰,,۰–۰,۲–۲,۱–۰,۲–۱,۱–۱,۰–۰,۲–۰,۰–۰,۱–۰,۰–۰
گسترش فولاد,۱–۱,۱–۰,۱–۱,۱–۴,,۰–۰,۱–۲,۱–۱,۲–۱,۰–۰,۱–۰,۱–۰,۰–۱,۲–۰
ایران جوان,۱–۰,۰–۲,۲–۱,۲–۱,۲–۰,,۴–۰,۳–۱,۱–۰,۲–۰,۱–۰,۰–۰,۲–۰,۰–۲
مس رفسنجان,۱–۱,۲–۰,۰–۰,۲–۰,۰–۰,۱–۲,,۰–۰,۱–۲,۴–۱,۱–۰,۱–۲,۰–۰,۱–۲
پیام مخابرات,۰–۱,۱–۲,۲–۱,۱–۱,۱–۱,۰–۰,۰–۰,,۱–۷,۰–۰,۱–۰,۰–۱,۰–۰,۱–۰
پیکان,۱–۰,۱–۰,۱–۱,۱–۱,۱–۱,۰–۰,۳–۲,۱–۰,,۲–۱,۴–۲,۰–۰,۴–۱,۲–۱
پرسپولیس شمال,۰–۱,۲–۰,۱–۰,۲–۱,۰–۱,۱–۱,۱–۱,۲–۰,۲–۱,,۲–۲,۲–۱,۱–۱,۱–۲
صنعت ساری,۱–۱,۱–۰,۱–۲,۱–۰,۱–۲,۱–۳,۲–۱,۱–۰,۰–۱,۰–۳,,۱–۰,۰–۰,۱–۰
شهرداری اراک,۱–۰,۲–۱,۰–۱,۱–۰,۱–۱,۲–۱,۱–۰,۰–۱,۲–۲,۱–۱,۰–۰,,۰–۱,۰–۰
شهرداری بندرعباس,۱–۱,۰–۱,۰–۰,۲–۱,۴–۳,۲–۱,۳–۱,۱–۰,۲–۳,۲–۱,۰–۰,۰–۱,,۱–۱
استیل‌آذین,۰–۲,۰–۱,۱–۰,۰–۰,۴–۲,۰–۰,۰–۰,۳–۱,۱–۱,۰–۰,۳–۰,۱–۱,۲–۱,
