0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
میزبان ╲ میهمان,آ.هرمز,برق,اس.خ,گهر,گل,ماش,نفت م.س,نسج,نیرو,پاس,کاوه,سوج,شیرین,تربیت
آلومینیوم هرمزگان,,۲–۰,۱–۱,۱–۰,۱–۱,۰–۰,,,,۲–۰,۱–۰,۲–۰,۰–۰,
برق شیراز,,,,۰–۱,,,۰–۰,۲–۱,۱–۱,۰–۰,۰–۳,۱–۲,۱–۰,۰–۱
استقلال خوزستان,,۱–۱,,,,,۲–۰,,۱–۱,۰–۰,۱–۰,۰–۲,۳–۱,۱–۱
گهر,۰–۱,۱–۰,۱–۰,,,۳–۱,۱–۱,۰–۰,,,۱–۱,,۳–۱,۳–۱
گل‌گهر,۱–۲,۳–۰,۳–۱,۰–۰,,۲–۲,۳–۰,,,,۳–۲,۰–۱,,۲–۱
ماشین‌سازی,,۱–۱,۲–۱,۲–۱,۲–۰,,۲–۲,,,,۳–۲,۳–۱,۱–۱,۱–۲
نفت مسجدسلیمان,۱–۱,,,,,۱–۰,,۲–۳,۱–۱,۱–۲,,۱–۰,۱–۱,۱–۰
نساجی مازندران,۰–۱,,۱–۰,۱–۰,۱–۰,۱–۳,,,۰–۰,۲–۱,۱–۱,۱–۰,,
نیروی زمینی,۱–۰,۱–۱,۱–۰,۰–۱,۱–۰,۱–۱,,۱–۰,,,۱–۰,۲–۲,,
پاس همدان,۱–۱,۲–۱,۱–۲,۱–۲,۲–۱,۰–۱,,۲–۱,۲–۱,,,,,۱–۱
صنعتی کاوه,۱–۲,۰–۱,۰–۰,,,,۰–۱,۲–۱,۱–۱,۱–۱,,,۲–۰,۱–۱
شهرداری یاسوج,,,۲–۰,۰–۰,۱–۲,۰–۱,۱–۰,,۱–۳,۲–۰,۱–۰,,۲–۲,
شیرین فراز,۱–۱,۱–۰,,,۰–۰,۱–۰,۱–۱,۲–۰,۲–۱,۱–۱,,,,۱–۰
تربیت یزد,۰–۲,,,۲–۰,۲–۰,,۲–۱,۱–۱,۰–۰,۱–۳,,۰–۰,۲–۱,
