رتبه,تیم,بازی,برد,مساوی,باخت,زده,خورده,تفاضل,امتیاز,جایگاه,توضیحات
1,پیکان (P),26,14,8,4,44,26,+18,36,صعود به لیگ برتر فوتبال ایران ۹۲–۱۳۹۱,
2,ایرانجوان (Q),26,13,9,4,31,16,+15,35,Azadegan League 2011-12 Play Off,
3,شهرداری بندرعباس,26,10,8,8,26,27,−1,28,,
4,شهرداری اراک,26,9,10,7,19,17,+2,28,,
5,فولاد یزد,26,9,9,8,25,23,+2,27,,
6,ابومسلم,26,8,10,8,21,18,+3,26,,
7,اتکا,26,9,7,10,21,20,+1,25,,
8,سایپا شمال,26,8,9,9,26,26,0,25,,
9,گسترش فولاد,26,7,11,8,25,30,−5,25,,
10,استیل آذین,26,10,10,6,29,22,+7,۰181,,
11,پارسه تهران,26,8,4,14,20,29,−9,20,,
12,مس رفسنجان,26,6,8,12,22,28,−6,20,,
13,صنعت ساری (R),26,7,5,14,20,34,−14,19,سقوط به لیگ دسته دوم ۹۲–۱۳۹۱,
14,پیام مخابرات شیراز (R),26,5,10,11,15,28,−13,20,سقوط به لیگ دسته دوم ۹۲–۱۳۹۱,
