رتبه,تیم,بازی,برد,مساوی,باخت,گل زده,گل خورده,گل تفاضل,امتیاز,صعود یا سقوط
۱,فولاد,۲۲,۱۳,۵,۴,۳۳,۱۵,۱۸+,۴۴,صعود به مرحله دوم
۲,سپاهان نوین,۲۲,۱۱,۷,۴,۲۸,۱۸,۱۰+,۴۰,صعود به مرحله دوم
۳,تربیت بدنی یزد,۲۲,۱۱,۴,۷,۳۶,۲۹,۷+,۳۷,
۴,مس رفسنجان,۲۲,۹,۷,۶,۳۴,۲۶,۸+,۳۴,
۵,نساجی مازندران,۲۲,۱۰,۴,۸,۲۷,۳۰,۳−,۳۴,
۶,شهرداری تبریز,۲۲,۷,۶,۹,۲۰,۲۳,۳−,۲۷,
۷,اتکا گرگان,۲۲,۶,۸,۸,۲۸,۳۴,۶−,۲۶,
۸,شاهین بوشهر,۲۲,۶,۷,۹,۲۲,۲۴,۲−,۲۵,
۹,کوثر تهران,۲۲,۵,۱۰,۷,۲۱,۲۵,۴−,۲۵,
۱۰,صنایع اراک,۲۲,۶,۵,۱۱,۱۹,۲۴,۵−,۲۳,
۱۱,ماشین سازی تبریز,۲۲,۳,۱۲,۷,۱۵,۲۵,۱۰−,۲۱,سقوط به لیگ دسته دو
۱۲,هما,۲۲,۴,۷,۱۱,۱۷,۲۷,۱۰−,۱۹,سقوط به لیگ دسته دو
