رتبه,تیم,بازی,برد,مساوی,باخت,گل زده,گل خورده,گل تفاضل,امتیاز,صعود یا سقوط
۱,پگاه گیلان,۲۲,۱۵,۳,۴,۴۲,۱۲,۳۰+,۴۸,مرحله دوم
۲,تراکتورسازی,۲۲,۱۴,۵,۳,۳۳,۱۶,۱۷+,۴۷,پلی آف مرحله دوم
۳,هما,۲۲,۱۴,۵,۳,۳۰,۱۶,۱۴+,۴۷,پلی آف مرحله دوم
۴,عقاب,۲۲,۸,۸,۶,۲۸,۲۶,۲+,۳۲,
۵,صنایع اراک,۲۲,۸,۵,۹,۳۰,۳۴,۴−,۲۹,
۶,کشت و صنعت,۲۲,۷,۷,۸,۲۹,۳۲,۳−,۲۸,
۷,نیروی زمینی,۲۲,۶,۸,۸,۲۵,۳۰,۵−,۲۶,
۸,شهاب زنجان,۲۲,۷,۴,۱۱,۲۵,۳۲,۷−,۲۵,
۹,دیهیم اهواز,۲۲,۶,۶,۱۰,۲۸,۳۱,۳−,۲۴,
۱۰,اکباتان,۲۲,۴,۹,۹,۲۰,۲۸,۸−,۲۱,پلی آف سقوط
۱۱,نوژن ساری,۲۲,۴,۸,۱۰,۱۲,۲۲,۱۰−,۲۰,پلی آف سقوط
۱۲,ایران‌جوان,۲۲,۳,۴,۱۵,۱۹,۴۴,۲۵−,۱۳,سقوط به دسته دو
