رتبه,تیم,بازی,برد,مساوی,باخت,گل زده,گل خورده,گل تفاضل,امتیاز,صعود یا سقوط
۱,مس کرمان,۲۲,۱۲,۷,۳,۳۰,۱۳,۱۷+,۴۳,مرحله دوم
۲,پیکان,۲۲,۱۱,۷,۴,۲۸,۱۱,۱۷+,۴۰,مرحله دوم
۳,صنعت نفت,۲۲,۱۱,۵,۶,۲۷,۱۴,۱۳+,۳۸,
۴,شاهین بوشهر,۲۲,۱۱,۲,۹,۳۰,۲۸,۲+,۳۵,
۵,مقاومت مرصاد,۲۲,۱۰,۴,۸,۲۸,۲۵,۳+,۳۴,
۶,سرخپوشان دلوار افزار,۲۲,۸,۷,۷,۲۷,۲۴,۳+,۳۱,
۷,پگاه,۲۲,۵,۱۲,۵,۲۴,۲۱,۳+,۲۷,
۸,استقلال کیش,۲۲,۷,۴,۱۱,۲۵,۳۲,۷−,۲۵,
۹,ماشین سازی تبریز,۲۲,۶,۷,۹,۲۱,۳۶,۱۵−,۲۵,
۱۰,پیام مشهد,۲۲,۶,۶,۱۰,۲۱,۳۰,۹−,۲۴,
۱۱,برق تهران,۲۲,۵,۶,۱۱,۱۹,۲۵,۶−,۲۱,سقوط به دسته دو
۱۲,شهرداری لنگرود,۲۲,۲,۶,۱۴,۱۷,۳۹,۲۲−,۱۲,سقوط به دسته دو
