Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation
1,Sanat Naft,20,10,7,3,24,11,+13,37,Promoted to Second Round
2,Esteghlal Ahvaz,20,11,3,6,35,22,+13,36,Promoted to Second Round
3,Mes Kerman,20,10,5,5,38,27,+11,35,
4,Oghab Tehran,20,9,5,6,21,29,−8,32,
5,Fajr Sepah Tehran,20,6,8,6,14,16,−2,26,
6,Sanam Tehran,20,6,7,7,23,24,−1,25,
7,Niroye Zamini,20,4,12,4,18,20,−2,24,
8,Rah Ahan,20,5,7,8,12,19,−7,22,
9,Pas Arak,20,6,4,10,21,33,−12,22,Relegated to 2002–03 Iran 2nd Division
10,Shahrdari Bushehr,20,5,5,10,20,25,−5,20,Relegated to 2002–03 Iran 2nd Division
11,Shahrdari Kerman,20,4,5,11,19,33,−14,17,Relegated to 2002–03 Iran 2nd Division
