Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Promotion
1,Esteghlal Ahvaz,6,3,1,2,7,4,+3,10,Promoted to 2002-03 Iran Pro League
2,Sanat Naft,6,2,3,1,4,2,+2,9,Promoted to 2002-03 Iran Pro League
3,Shemushack,6,2,1,3,2,5,−3,7,
4,Nassaji Mazandaran,6,1,3,2,3,5,−2,6,
