Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Promotion or relegation
1,Sh. Tabriz (R),26,13,8,5,33,20,+13,47,Relegation to 2nd Division[a]
2,Est. Khuzestan (P),26,13,7,6,24,18,+6,46,Promotion to 2013–14 Iran Pro League
3,PAS Hamedan (Q),26,14,3,9,25,18,+7,45,Azadegan League 2012–13 play-off
4,Sh. Yasouj,26,12,6,8,31,20,+11,42,
5,Rahian Kermanshah,26,10,11,5,27,19,+8,41,
6,Niroye Zamini,26,12,4,10,29,27,+2,40,
7,Iranjavan,26,8,13,5,27,20,+7,37,
8,Sh. Bandar Abbas,26,9,10,7,29,25,+4,37,
9,Saipa Shomal,26,11,4,11,22,28,−6,37,
10,Foolad Yazd,26,8,7,11,28,26,+2,31,
11,Mes Rafsanjan,26,7,9,10,14,21,−7,30,
12,Hafari Ahvaz (R),26,6,8,12,40,42,−2,26,Relegation to 2nd Division
13,Bargh Shiraz (R),26,4,7,15,22,44,−22,19,Relegation to 2nd Division
14,Yadavaran Shalamcheh (R),26,3,7,16,12,35,−23,16,Relegation to 3rd Division[b]
