رتبه,تیم,بازی,برد,مساوی,باخت,زده,خورده,تفاضل,امتیاز,جایگاه,توضیحات
1,گسترش فولاد (P),26,14,8,4,44,25,+19,36,صعود به لیگ برتر فوتبال ایران ۹۳–۱۳۹۲,
2,مس سرچشمه (Q),26,12,11,3,29,15,+14,35,لیگ آزادگان ۱۳–۲۰۱۲ مرحله حذفی,
3,نفت مسجد سلیمان,26,13,6,7,41,31,+10,32,,
4,الوند همدان,26,12,7,7,33,23,+10,31,,
5,گل‌گهر سیرجان,26,11,8,7,29,25,+4,30,,
6,ابومسلم,26,10,8,8,39,34,+5,28,,
7,سنگ آهن بافق,26,9,7,10,37,32,+5,25,,
8,نساجی مازندران,26,9,9,8,33,27,+6,۰241,,
9,پارسه تهران,26,6,13,7,30,30,0,25,,
10,استقلال اهواز,26,7,9,10,25,34,−9,23,,
11,اتکا گرگان (R),26,7,9,10,15,24,−9,23,سقوط به لیگ دسته دوم ۹۳–۱۳۹۲,
12,شاهین بوشهر (R),26,6,8,12,18,30,−12,20,سقوط به لیگ دسته دوم ۹۳–۱۳۹۲,
13,شهرداری اراک (R),26,6,7,13,16,30,−14,19,سقوط به لیگ دسته دوم ۹۳–۱۳۹۲,
14,ماشین سازی (R),26,3,4,19,18,47,−29,10,سقوط به لیگ دسته دوم ۹۳–۱۳۹۲,
