رتبه,تیم,بازی,برد,مساوی,باخت,زده,خورده,تفاضل,امتیاز,جایگاه,توضیحات
1,شهرداری تبریز (R),26,13,8,5,33,20,+13,۰341,سقوط به لیگ دسته دوم ۹۳–۱۳۹۲,
2,استقلال خوزستان (P),26,13,7,6,24,18,+6,33,صعود به لیگ برتر فوتبال ایران ۹۳–۱۳۹۲,
3,پاس همدان (Q),26,14,3,9,25,18,+7,31,لیگ آزادگان ۱۳–۲۰۱۲ مرحله حذفی,
4,شهرداری یاسوج,26,12,6,8,31,20,+11,30,,
5,راهیان کرمانشاه,26,10,11,5,27,19,+8,31,,
6,نیروی زمینی,26,12,4,10,29,27,+2,28,,
7,ایرانجوان,26,8,13,5,27,20,+7,29,,
8,شهرداری بندرعباس,26,9,10,7,29,25,+4,28,,
9,سایپا شمال,26,11,4,11,22,28,−6,26,,
10,فولاد یزد,26,8,7,11,28,26,+2,23,,
11,مس رفسنجان (R),26,7,9,10,14,21,−7,23,سقوط به لیگ دسته دوم ۹۳–۱۳۹۲,
12,حفاری اهواز (R),26,6,8,12,40,42,−2,20,سقوط به لیگ دسته دوم ۹۳–۱۳۹۲,
13,برق شیراز (R),26,4,7,15,22,44,−22,15,سقوط به لیگ دسته دوم ۹۳–۱۳۹۲,
14,یادآوران شلمچه (R),26,3,7,16,12,35,−23,۰131,سقوط به 3rd Division 2013-2014,
