رتبه,تیمنبو,بازی,برد,مساوی,باخت,گل زده,گل خورده,گل تفاضل,امتیاز,صعود یا سقوط
۱,گل‌گهر (ق),۳۰,۱۵,۱۳,۲,۴۷,۲۶,۲۱+,۵۸,صعود به لیگ برتر فوتبال ایران ۹۹–۱۳۹۸
۲,شاهین بوشهر,۳۰,۱۴,۱۲,۴,۳۴,۱۷,۱۷+,۵۴,صعود به لیگ برتر فوتبال ایران ۹۹–۱۳۹۸
۳,گل ریحان,۳۰,۱۳,۹,۸,۳۰,۱۹,۱۱+,۴۸,
۴,آلومینیوم اراک,۳۰,۱۲,۱۲,۶,۲۷,۲۳,۴+,۴۸,
۵,مس کرمان,۳۰,۱۲,۱۱,۷,۳۸,۲۲,۱۶+,۴۷,
۶,سرخپوشان,۳۰,۱۱,۱۰,۹,۴۸,۳۸,۱۰+,۴۳,
۷,بادران,۳۰,۱۱,۱۰,۹,۳۵,۳۲,۳+,۴۳,
۸,قشقایی,۳۰,۱۱,۶,۱۳,۲۸,۳۴,۶−,۳۹,
۹,فجر سپاسی,۳۰,۹,۱۱,۱۰,۲۶,۲۴,۲+,۳۸,
۱۰,مس رفسنجان,۳۰,۹,۹,۱۲,۴۰,۴۲,۲−,۳۶,
۱۱,ملوان,۳۰,۱۰,۱۱,۹,۲۹,۲۸,۱+,۳۵,
۱۲,خونه به خونه,۳۰,۷,۱۰,۱۳,۲۲,۳۰,۸−,۳۱,
۱۳,نود ارومیه,۳۰,۷,۱۰,۱۳,۲۳,۴۰,۱۷−,۳۱,
۱۴,شهرداری تبریز,۳۰,۶,۱۰,۱۴,۲۷,۴۵,۱۸−,۲۸,
۱۵,کارون اروند,۳۰,۶,۱۰,۱۴,۱۷,۳۶,۱۹−,۲۸,
۱۶,شهرداری ماهشهر (س),۳۰,۵,۱۰,۱۵,۱۹,۳۴,۱۵−,۲۵,سقوط به لیگ دسته دوم فوتبال ایران ۹۹–۱۳۹۸
