رتبه,تیم,بازی,برد,مساوی,باخت,گل زده,گل خورده,امتیاز,توضیحات
۱,پگاه گیلان(داماش گیلان),۲۲,۱۲,۶,۴,۲۳,۶,۴۲,صعود به مرحله دوم
۲,شیرین فراز کرمانشاه,۲۲,۱۱,۷,۴,۳۰,۱۱,۴۰,صعود به مرحله دوم
۳,اتکا گلستان,۲۲,۱۱,۵,۶,۳۴,۲۷,۳۸,
۴,مقاومت مرصاد,۲۲,۹,۶,۷,۲۳,۱۶,۳۳,
۵,هما,۲۲,۷,۹,۶,۱۸,۱۷,۳۰,
۶,استقلال دزفول,۲۲,۶,۹,۷,۱۹,۲۱,۲۷,
۷,ماشین‌سازی,۲۲,۵,۱۱,۶,۱۲,۱۵,۲۶,
۸,شهرداری تبریز,۲۲,۶,۷,۹,۱۴,۲۱,۲۵,
۹,اکباتان,۲۲,۶,۷,۹,۱۳,۲۴,۲۵,
۱۰,شاهین بوشهر,۲۲,۴,۱۲,۶,۱۸,۲۲,۲۴,
۱۱,شموشک نوشهر,۲۲,۵,۸,۹,۱۵,۲۰,۲۳,
۱۲,کشت و صنعت,۲۲,۳,۷,۱۲,۱۰,۳۰,۱۶,سقوط به لیگ دسته دو
