رتبه,تیم,بازی,برد,مساوی,باخت,گل زده,گل خورده,امتیاز,توضیحات
۱,تراکتورسازی,۲۰,۱۱,۵,۴,۲۱,۱۶,۳۸,صعود به مرحله دوم
۲,شهرداری بندرعباس,۲۰,۹,۷,۴,۲۷,۱۴,۳۴,صعود به مرحله دوم
۳,سرخپوشان دلوار,۲۰,۹,۶,۵,۳۳,۱۷,۳۳,
۴,تربیت یزد,۲۰,۸,۸,۴,۲۹,۲۱,۳۲,
۵,شهرداری زنجان,۲۰,۷,۶,۷,۲۰,۱۷,۲۷,
۶,نساجی مازندران,۲۰,۷,۶,۷,۲۶,۲۶,۲۷,
۷,نیروی زمینی,۲۰,۶,۶,۸,۲۰,۲۴,۲۴,
۸,صنایع اراک,۲۰,۶,۵,۹,۲۶,۲۸,۲۳,
۹,پیام مشهد,۲۰,۵,۸,۷,۱۹,۲۴,۲۳,
۱۰,کوثر لرستان,۲۰,۶,۴,۱۰,۲۳,۲۵,۲۲,
۱۱,دیهم اهواز,۲۰,۳,۵,۱۲,۱۵,۴۱,۱۴,سقوط به لیگ دسته دو
۱۲,صنعت نفت آبادان,۰,۰,۰,۰,۰,۰,۰,تیم صنعت نفت آبادان به صورت اتوماتیک با تصمیم فدراسیون فوتبال ایران به فصل ۸۷–۱۳۸۶ لیگ برتر صعود کرد.
