Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Promotion or relegation
1,Naft Masjed Soleyman (P),24,12,7,5,31,22,+9,43,2014–15 Iran Pro League
2,"Paykan (P, Q)",24,12,4,8,35,24,+11,40,Azadegan League 2013–14 play-off
3,Parseh Tehran,24,10,9,5,27,21,+6,39,
4,Iranjavan,24,9,11,4,29,21,+8,38,
5,Mes Rafsanjan,24,8,11,5,28,21,+7,35,
6,Aluminium Hormozgan,24,8,7,9,28,20,+8,31,
7,Naft va Gaz Gachsaran,24,7,10,7,28,27,+1,31,
8,Rahian Kermanshah,24,8,7,9,23,29,−6,31,
9,Pas,24,8,5,11,22,28,−6,29,
10,Yazd Loleh,24,6,10,8,21,21,0,28,
11,Albadr Bandar Kong (R),24,9,4,11,21,30,−9,25[a],Relegation to 2014–15 Iran Football's 2nd Division
12,Aboumoslem (R),24,4,10,10,27,40,−13,22,Relegation to 2014–15 Iran Football's 2nd Division
13,Persepolis Shomal (R),24,4,7,13,26,42,−16,19,Relegation to 2014–15 Iran Football's 2nd Division
