Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Promotion or relegation
1,"Paykan (C, P)",38,18,16,4,50,29,+21,70,Promotion to 2016–17 Persian Gulf Pro League
2,Machine Sazi (P),38,16,15,7,53,36,+17,63,Promotion to 2016–17 Persian Gulf Pro League
3,Sanat Naft (P),38,16,14,8,51,38,+13,62,Promotion to 2016–17 Persian Gulf Pro League
4,Fajr Sepasi,38,16,12,10,39,28,+11,60,
5,Mes Rafsanjan,38,14,16,8,44,35,+9,58,
6,Khooneh be Khooneh,38,14,16,8,39,34,+5,58,
7,Mes Kerman,38,14,13,11,37,33,+4,55,
8,Nassaji Mazandaran,38,14,11,13,39,40,−1,53,
9,Aluminium Arak,38,10,20,8,47,41,+6,50,
10,Naft Masjed Soleyman,38,10,18,10,39,39,0,48,
11,Gol Gohar,38,9,20,9,35,34,+1,47,
12,Kheybar Khorramabad,38,11,14,13,42,46,−4,47,
13,Iranjavan,38,11,12,15,42,54,−12,45,
14,Foolad Yazd,38,10,14,14,31,38,−7,44,
15,Parseh Tehran,38,8,18,12,44,47,−3,42,
16,PAS Hamedan (R),38,10,12,16,34,40,−6,42,Relegation to 2016–17 2nd Division
17,Sh. Ardabil (R),38,9,13,16,43,49,−6,40,Relegation to 2016–17 2nd Division
18,Giti Pasand (R),38,8,15,15,26,41,−15,39,Relegation to 2016–17 2nd Division
19,Damash (R),38,8,13,17,29,43,−14,37,Relegation to 2016–17 2nd Division
20,Aluminium Hormozgan (R),38,6,14,18,32,51,−19,32,Relegation to 2016–17 2nd Division
