Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Promotion or relegation
1,"Pars Jonoubi Jam (C, P)",34,16,14,4,29,14,+15,62,Promotion to 2017-18 Persian Gulf Pro League
2,Sepidrood (P),34,17,10,7,35,24,+11,61,Promotion to 2017-18 Persian Gulf Pro League
3,Gol Gohar,34,16,12,6,49,34,+15,60,
4,Malavan,34,15,13,6,34,27,+7,58,
5,Khooneh be Khooneh,34,15,11,8,47,33,+14,56,
6,Baadraan Tehran,34,14,14,6,34,21,+13,56,
7,Oxin Alborz,34,13,10,11,39,29,+10,49,
8,Mes Kerman,34,11,16,7,35,25,+10,49,
9,Aluminium Arak,34,12,12,10,38,31,+7,48,
10,Nassaji Mazandaran,34,12,10,12,44,41,+3,46,
11,Mes Rafsanjan,34,11,10,13,42,32,+10,43,
12,Iranjavan,34,9,11,14,39,41,−2,38,
13,Naft Masjed Soleyman,34,7,16,11,33,32,+1,37,
14,Fajr Sepasi,34,8,12,14,32,38,−6,36,
15,Rah Ahan,34,8,12,14,31,49,−18,36,
16,Kheybar Khorramabad (R),34,8,10,16,23,41,−18,34,Relegation to 2017–18 2nd Division
17,Foolad Yazd (R),34,6,12,16,20,42,−22,30,Relegation to 2017–18 2nd Division
18,Est. Ahvaz (R),34,0,11,23,18,68,−50,11,Relegation to 2017–18 2nd Division
