0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
میزبان ╲ میهمان,آ.اراک,باد,اهواز,فجر,ف.یزد,گل,ایر,خیب,خونه,ملو,مس.ر,نفت م.س,نسج,اکس,جم,راه,مس,سپد
آلومینیوم اراک,,۱–۰,۱–۱,,۰–۱,,,۱–۰,۲–۰,۲–۳,۰–۲,,۱–۱,۱–۰,۰–۰,۲–۱,۰–۰,۱–۰
بادران تهران,,,۳–۱,۱–۰,۲–۱,۱–۱,۰–۰,,۳–۰,,۱–۱,۰–۰,۰–۱,۱–۱,۰–۰,۰–۰,,۱–۰
استقلال اهواز,۰–۳,,,۱–۱,۱–۱,,۰–۰,,۰–۰,۱–۳,۱–۲,۲–۲,۱–۱,۰–۰,,۱–۱,۱–۵,۰–۱
فجر سپاسی,۱–۱,,,,,۰–۲,۳–۲,۰–۱,۲–۰,۰–۰,۰–۱,۱–۳,۰–۰,۰–۰,,۲–۲,۰–۲,۱–۲
فولاد یزد,۰–۰,۱–۱,۲–۱,۰–۲,,,۱–۰,۱–۱,۰–۱,۰–۰,۰–۲,,,۰–۳,۰–۱,۲–۲,,۱–۱
گل‌گهر,۳–۲,۰–۲,۴–۰,۱–۰,۲–۱,,۳–۰,,۰–۰,۳–۱,,۰–۰,۲–۲,۲–۱,,۵–۱,۰–۰,
ایران جوان,۳–۳,۱–۲,,۲–۱,,۱–۱,,۰–۱,۰–۰,۳–۲,,۰–۰,۲–۲,,۱–۲,۵–۰,۱–۱,۳–۱
خیبر خرم‌آباد,۱–۳,۰–۲,۲–۰,,۰–۰,۱–۱,۱–۰,,۰–۰,,,۱–۰,۲–۱,۱–۲,۰–۱,۰–۲,۰–۰,۱–۱
خونه به خونه,۱–۱,۲–۲,۱–۰,,۲–۱,,۱–۲,,,۲–۰,۳–۱,۳–۰,,۰–۲,۰–۲,۶–۰,۰–۰,۰–۱
ملوان,۱–۰,۱–۰,,۱–۰,۱–۰,۰–۰,۰–۰,۲–۱,,,,۰–۰,۱–۰,۱–۰,۱–۱,۰–۰,۲–۱,۱–۰
مس رفسنجان,۰–۱,,,,۵–۰,۳–۰,۱–۰,۶–۱,۱–۲,۰–۰,,۱–۱,۰–۱,,۰–۰,۴–۲,۰–۰,۰–۰
نفت مسجدسلیمان,۱–۱,۰–۱,۱–۱,۲–۰,۱–۱,۰–۱,۳–۰,۱–۲,,,۰–۰,,۰–۱,۳–۰,۰–۰,,۲–۲,
نساجی مازندران,,,۳–۰,۰–۱,۳–۰,۳–۳,۲–۱,۳–۱,۱–۲,,۲–۰,۲–۱,,۰–۱,۱–۱,,۰–۰,۲–۱
اکسین البرز,,۱–۰,۳–۰,۳–۱,۱–۱,۰–۰,۱–۲,۲–۰,,۲–۱,۱–۱,,۳–۱,,۰–۰,۰–۱,,
پارس جم,۲–۱,,۱–۰,۱–۰,۱–۰,۲–۰,,۰–۰,۰–۰,,۱–۰,,,۰–۲,,۰–۲,۱–۱,۱–۱
راه‌آهن,۰–۰,۰–۱,۳–۰,۱–۱,,۰–۲,,۳–۱,۰–۱,۱–۲,۲–۰,۳–۰,۱–۱,,,,,۰–۰
مس کرمان,,۱–۰,۲–۲,۲–۲,۲–۰,۱–۱,۱–۰,,,۰–۰,۱–۰,,۲–۰,۳–۱,۱–۰,۱–۱,,۰–۱
سپیدرود,۱–۰,۱–۰,۲–۱,۲–۰,,۱–۰,,۰–۰,۳–۱,۱–۱,۱–۰,۱–۰,,۲–۱,۰–۰,,,
