رتبه,تیمنبو,بازی,برد,مساوی,باخت,گل زده,گل خورده,گل تفاضل,امتیاز,صعود یا سقوط
۱,شمس‌آذر,۳۲,۲۱,۷,۴,۶۷,۲۴,۴۳+,۷۰,صعود به لیگ برتر فوتبال ایران ۰۳–۱۴۰۳
۲,استقلال‌خوزستان,۳۲,۱۴,۱۵,۳,۴۷,۲۱,۲۶+,۵۷,صعود به لیگ برتر فوتبال ایران ۰۳–۱۴۰۳
۳,سایپا,۳۲,۱۵,۱۰,۷,۳۰,۲۲,۸+,۵۵,
۴,فجر‌سپاسی,۳۲,۱۴,۱۱,۷,۴۰,۲۵,۱۵+,۵۳,
۵,خیبر,۳۲,۱۲,۱۶,۴,۳۲,۱۶,۱۶+,۵۲,
۶,مس بابک,۳۲,۱۰,۱۵,۷,۲۴,۲۰,۴+,۴۵[a],
۷,چادرملو,۳۲,۱۱,۱۲,۹,۳۲,۳۱,۱+,۴۵[a],
۸,ون‌پارس,۳۲,۱۲,۹,۱۱,۳۲,۲۹,۳+,۴۵[a],
۹,پارس‌‌جنوبی‌جم,۳۲,۱۱,۱۰,۱۱,۲۶,۳۱,۵−,۴۳,
۱۰,رایکا,۳۲,۸,۱۴,۱۰,۲۶,۲۵,۱+,۳۸,
۱۱,استقلال‌ملاثانی,۳۲,۷,۱۶,۹,۲۷,۴۲,۱۵−,۳۷,
۱۲,خوشه طلایی,۳۲,۸,۱۱,۱۳,۲۶,۳۳,۷−,۳۵,
۱۳,آرمان‌گهر,۳۲,۸,۹,۱۵,۲۹,۴۵,۱۶−,۳۳,
۱۴,شهرداری آستارا,۳۲,۵,۱۵,۱۲,۱۴,۲۷,۱۳−,۳۰,
۱۵,خلیج‌فارس,۳۲,۷,۸,۱۷,۲۱,۴۲,۲۱−,۲۹,
۱۶,شهرداری همدان,۳۲,۶,۱۰,۱۶,۱۶,۳۰,۱۴−,۲۸,سقوط به لیگ ۲
۱۷,چوکا تالش,۳۲,۴,۱۰,۱۸,۲۹,۵۵,۲۶−,۲۲,سقوط به لیگ ۲
۱۸,امید وحدت,۰,۰,۰,۰,۰,۰,۰,۰,سقوط به لیگ ۲
