Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Promotion or relegation
1,Mes Sarcheshmeh,26,14,6,6,34,14,+20,48,Promotion to 2011–12 Persian Gulf Cup
2,Aluminium Hormozgan,26,13,9,4,29,19,+10,48,Azadegan League 2010–11 Play Off
3,Gostaresh,26,14,6,6,28,22,+6,48,
4,Nassaji Mazandaran,26,11,9,6,34,17,+17,42,
5,Aboumoslem,26,11,9,6,28,20,+8,42,
6,Shirin Faraz,26,8,11,7,17,19,−2,35,
7,Sanat Sari,26,8,11,7,18,24,−6,35,
8,Iranjavan,26,8,9,9,29,26,+3,33,
9,Bargh Shiraz,26,7,11,8,24,25,−1,32,
10,Payam Mokhaberat,26,5,12,9,20,22,−2,27,
11,Foolad Yazd,26,7,6,13,23,38,−15,27,
12,Damash Lorestan,26,6,7,13,22,29,−7,25,
13,Est. Ahvaz (R),26,6,6,14,20,33,−13,24,Relegation to 2011–12 Iran Football's 2nd Division
14,Sepidrood (R),26,4,8,14,21,39,−18,20,Relegation to 2011–12 Iran Football's 2nd Division
