Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Promotion or relegation
1,"Steel Azin (C, P)",26,17,4,5,49,31,+18,55,Promotion to 2009–10 PGC
2,Sh. Tabriz,26,13,9,4,39,25,+14,48,Azadegan League 2008–09 Play Off
3,Petroshimi Tabriz,26,13,7,6,43,32,+11,46,
4,Aluminium Arak,26,12,9,5,37,23,+14,45,
5,Gol Gohar,26,10,9,7,33,30,+3,39,
6,Sepahan Novin,26,10,8,8,35,31,+4,38,
7,Sanat Naft,26,7,12,7,28,27,+1,33,
8,Kowsar Lorestan,26,8,9,9,20,29,−9,33,
9,Mehrkam Pars,26,7,10,9,31,34,−3,31,
10,Moghavemat Mersad,26,6,8,12,27,34,−7,26,
11,Sh. Bandar Abbas,26,6,7,13,26,33,−7,25,
12,Nassaji Mazandaran,26,5,10,11,25,36,−11,25,
13,Homa (R),26,4,9,13,23,32,−9,21,Relegation to 2009–10 2nd Division
14,Sh. Zanjan (R),26,3,11,12,19,33,−14,20,Relegation to 2009–10 2nd Division
