Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Promotion or relegation
1,"Tractor Sazi (C, P)",26,16,6,4,41,18,+23,54,Promotion to 2009–10 Persian Gulf Cup
2,Shahin Bushehr (P),26,16,5,5,31,20,+11,53,Azadegan League 2008–09 Play Off
3,Mes Rafsanjan,26,13,7,6,42,20,+22,46,
4,Damash Lorestan,26,10,10,6,26,19,+7,40,
5,Tarbiat Yazd,26,9,11,6,32,24,+8,38,
6,Niroye Zamini,26,10,8,8,25,19,+6,38,
7,Shirin Faraz,26,8,12,6,30,25,+5,36,
8,Payam Mokhaberat,26,10,4,12,33,30,+3,34,
9,Aluminium Hormozgan,26,7,12,7,30,24,+6,33,
10,Etka Gorgan,26,8,9,9,37,30,+7,33,
11,Shamoushak,26,6,9,11,20,25,−5,27,
12,Shahin Ahvaz,26,5,6,15,20,50,−30,21,
13,Machine Sazi (R),26,5,5,16,21,49,−28,20,Relegation to 2009–10 Iran Football's 2nd Division
14,Deyhim Ahvaz (R),26,4,6,16,20,51,−31,18,Relegation to 2009–10 Iran Football's 2nd Division
