0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
ميزبان / ميهمان۱,آلو,دام,دیم,تکا,ماش,مس.ر,نیر,پیا,شاه,بوش,شمک,شیر,ترب,ترا
آلومینیوم هرمزگان,,۱–۱,۰–۰,۲–۱,۳–۰,۲–۲,۱–۱,۲–۱,۱–۰,۱–۰,۱–۱,۱–۱,۱–۱,۰–۰
داماش لرستان,۰–۰,,۲–۱,۲–۱۲,۳–۰,۱–۰,۰–۰,۲–۱,۰–۰,۲–۰,۱–۱,۱–۱,۱–۱,۰–۱
دیهم اهواز,۱–۱,۰–۱,,۱–۳,۲–۲,۱–۱,۰–۰,۰–۱,۳–۰,۱–۳,۲–۱,۲–۱,۱–۲,۱–۳
اتکا,۱–۱,۱–۲,۴–۰,,۲–۲,۱–۰,۲–۰,۰–۱,۵–۰,۱–۱,۲–۱,۱–۱,۰–۰,۲–۳
ماشین سازی,۱–۳,۱–۰,۲–۰,۰–۱,,۳–۱,۰–۳,۱–۴,۲–۲,۰–۰,۱–۱,۱–۰,۲–۱,۰–۱
مس رفسنجان,۱–۰,۱–۲,۳–۰,۲–۰,۵–۰,,۱–۰,۴–۲,۴–۰,۴–۰,۲–۰,۲–۰,۱–۰,۰–۰
نیروی زمینی,۱–۰,۲–۲,۱–۱,۰–۰,۲–۰,۰–۱,,۱–۱,۱–۰,۱–۱,۱–۰,۱–۱,۰–۱,۱–۰
پیام مخابرات,۱–۰,۰–۱,۴–۰,۱–۱,۲–۰,۱–۱,۲–۳,,۳–۰,۰–۳,۲–۱,۱–۲,۱–۰,۰–۱
شاهین اهواز,۴–۳,۳–۲,۱–۰,۱–۲,۲–۱,۱–۱,۰–۴,۰–۱,,۰–۱,۱–۰,۰–۳,۰–۱,۱–۴
شاهین بوشهر,۲–۰,۱–۰,۲–۰,۳–۲,۲–۱,۱–۰,۲–۱,۱–۰,۱–۱,,۱–۰,۲–۱,۱–۰,۱–۰
شموشک نوشهر,۰–۰,۰–۰,۲–۱,۱–۱,۱–۰,۰–۱,۱–۰,۱–۰,۲–۰,۰–۱,,۲–۲,۱–۱,۰–۰
شیرین‌فراز,۰–۱,۱–۰,۱–۲,۱–۱,۱–۰,۰–۰,۲–۰,۱–۱,۱–۱,۱–۰,۲–۱,,۰–۰,۱–۱
تربیت یزد,۱–۰,۰–۰,۴–۰,۲–۱,۳–۰,۳–۳,۰–۱,۲–۳,۱–۱,۱–۱,۱–۰,۲–۲,,۲–۲
تراکتور,۲–۰,۱–۰,۵–۰,۱–۰,۴–۱,۲–۱,۱–۰,۱–۰,۳–۱,۲–۰,۱–۲,۱–۳,۱–۱,
