رتبه,تیم,بازی,برد,مساوی,باخت,زده,خورده,تفاضل,امتیاز,جایگاه,توضیحات
1,تراکتورسازی (C),26,16,6,4,41,18,+23,38,صعود به لیگ برتر فوتبال ایران ۸۹-۱۳۸۸,
2,شاهین بوشهر (O),26,16,5,5,31,20,+11,37,پلی آف صعود به لیگ برتر,
3,مس رفسنجان,26,13,7,6,42,20,+22,33,,
4,داماش لرستان,26,10,10,6,26,19,+7,30,,
5,تربیت یزد,26,9,11,6,32,24,+8,29,,
6,نیروی زمینی,26,10,8,8,25,19,+6,28,,
7,شیرین‌فراز,26,8,12,6,30,25,+5,28,,
8,پیام مخابرات,26,10,4,12,33,30,+3,24,,
9,آلومینیوم هرمزگان,26,7,12,7,30,24,+6,26,,
10,اتکا,26,8,9,9,37,30,+7,25,,
11,شموشک,26,6,9,11,20,25,−5,21,,
12,شاهین اهواز,26,5,6,15,20,50,−30,16,,
13,ماشین‌سازی (R),26,5,5,16,21,49,−28,15,سقوط به لیگ دسته دوم,
14,دیهم اهواز (R),26,4,6,16,20,51,−31,14,سقوط به لیگ دسته دوم,
