رتبه,تیم,بازی,برد,مساوی,باخت,زده,خورده,تفاضل,امتیاز,جایگاه,توضیحات
1,استیل آذین (C),26,17,4,5,49,31,+18,38,صعود به لیگ برتر فوتبال ایران ۸۹-۱۳۸۸,
2,شهرداری تبریز (O),26,13,9,4,39,25,+14,35,پلی آف صعود به لیگ برتر,
3,پتروشیمی تبریز,26,13,7,6,43,32,+11,33,,
4,صنایع اراک,26,12,9,5,37,23,+14,33,,
5,گل گهر,26,10,9,7,33,30,+3,29,,
6,سپاهان نوین,26,10,8,8,35,31,+4,28,,
7,صنعت نفت,26,7,12,7,28,27,+1,26,,
8,کوثر لرستان,26,8,9,9,20,29,−9,25,,
9,مهرکام پارس,26,7,10,9,31,34,−3,24,,
10,مقاومت مرصاد,26,6,8,12,27,34,−7,20,,
11,شهرداری بندرعباس,26,6,7,13,26,33,−7,19,,
12,نساجی مازندران,26,5,10,11,25,36,−11,20,,
13,هما (R),26,4,9,13,23,32,−9,17,سقوط به لیگ دسته دوم,
14,شهرداری زنجان (R),26,3,11,12,19,33,−14,17,سقوط به لیگ دسته دوم,
