0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
ميزبان / ميهمان۱,گهر,هما,کثر,مهر,صاد,نسا,پتر,نفت,صنا,سپا,عبا,تبر,زنج,آذن
گل گهر,,۱–۰,۲–۰,۲–۲,۴–۰,۱–۱,۳–۵,۰–۰,۲–۱,۰–۲,۱–۰,۱–۰,۱–۰,۱–۳
هما,۲–۲,,۰–۰,۲–۰,۱–۱,۱–۱,۰–۱,۲–۳,۰–۰,۰–۰,۰–۱,۱–۲,۲–۱,۰–۱
کوثر لرستان,۰–۱,۲–۱,,۱–۱,۲–۰,۳–۲,۱–۰,۰–۰,۰–۳,۰–۰,۰–۰,۰–۱,۱–۰,۰–۱
مهرکام پارس,۱–۲,۱–۱,۱–۲,,۱–۱,۱–۰,۰–۱,۲–۰,۰–۰,۱–۰,۳–۱,۱–۱,۱–۰,۱–۱
مقاومت مرصاد,۱–۱,۴–۱,۱–۲,۲–۱,,۴–۳,۰–۰,۱–۱,۱–۱,۰–۱,۱–۱,۴–۱,۱–۱,۴–۰
نساجی مازندران,۱–۰,۰–۰,۰–۰,۱–۱,۱–۰,,۱–۳,۰–۰,۰–۰,۳–۱,۱–۰,۰–۰,۳–۱,۳–۵
پتروشیمی تبریز,۱–۲,۰–۱,۱–۰,۴–۱,۲–۰,۱–۰,,۱–۱,۱–۱,۲–۰,۲–۱,۰–۰,۲–۲,۲–۲
صنعت نفت,۳–۱,۱–۲,۲–۲,۲–۲,۱–۰,۰–۰,۳–۰,,۱–۱,۰–۰,۲–۲,۱–۰,۱–۰,۰–۱
صنایع اراک,۱–۰,۲–۱,۷–۰,۳–۲,۰–۱,۳–۱,۳–۳,۱–۰,,۱–۰,۱–۱,۳–۱,۱–۰,۱–۳
سپاهان نوین,۲–۲,۲–۱,۲–۱,۱–۰,۱–۰,۱–۱,۲–۴,۱–۲,۰–۱,,۲–۱,۱–۱,۱–۱,۱–۲
شهرداری بندرعباس,۱–۲,۲–۱,۰–۱,۰–۲,۲–۰,۲–۱,۰–۱,۲–۲,۱–۲,۱–۱,,۱–۴,۲–۰,۲–۱
شهرداری تبریز,۰–۰,۱–۰,۱–۰,۲–۲,۲–۰,۳–۰,۲–۲,۲–۰,۱–۰,۲–۲,۱–۰,,۳–۳,۳–۱
شهرداری زنجان,۱–۱,۰–۰,۲–۲,۰–۱,۲–۰,۰–۰,۱–۰,۱–۰,۰–۰,۰–۳,۰–۰,۱–۳,,۱–۱
استیل‌آذین,۱–۰,۳–۲,۰–۰,۰–۱,۱–۰,۳–۱,۴–۱,۳–۲,۳–۰,۳–۲,۲–۱,۱–۲,۳–۱,
