Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification
1,Niroye Zamini,6,3,1,2,9,5,+4,10,Stay in the 2005–06 Azadegan League
2,Ekbatan,6,3,1,2,10,7,+3,10,Stay in the 2005–06 Azadegan League
3,Nassaji Mazandaran,6,3,0,3,7,7,0,9,Stay in the 2nd Division
4,Ararat Tehran,6,2,0,4,7,14,−7,6,Stay in the 2nd Division
