Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation
1,Rah Ahan,22,13,5,4,43,21,+22,44,Advanced to the second round
2,Shahid Ghandi,22,12,5,5,26,13,+13,41,Advanced to the second round
3,Pasargard,22,11,6,5,41,26,+15,39,
4,Bargh Tehran,22,10,8,4,32,25,+7,38,
5,Mes Kerman,22,9,8,5,23,16,+7,35,
6,Mersad Shiraz,22,8,10,4,26,20,+6,34,
7,Tractor Sazi,22,7,9,6,26,25,+1,30,
8,Karoun Shoshtar,22,6,9,7,26,27,−1,27,
9,Shahin Bushehr,22,5,6,11,28,36,−8,21,
10,Deyhim Ahvaz,22,5,5,12,21,34,−13,20,
11,Ekbatan,22,3,5,14,19,40,−21,14,Play off
12,Kheybar Khorramabad,22,3,4,15,24,52,−28,13,Relegated to 2005–06 Iran Football's 2nd Division
