رتبه,تیم,بازی,برد,مساوی,باخت,زده,خورده,تفاضل,امتیاز,جایگاه,توضیحات
1,پیکان (C) (P),38,18,16,4,50,29,+21,52,صعود به لیگ برتر فوتبال ایران ۹۶–۱۳۹۵,
2,ماشین سازی (P),38,16,15,7,53,36,+17,47,صعود به لیگ برتر فوتبال ایران ۹۶–۱۳۹۵,
3,صنعت نفت آبادان (P),38,16,14,8,51,38,+13,46,صعود به لیگ برتر فوتبال ایران ۹۶–۱۳۹۵,
4,فجر سپاسی,38,16,12,10,39,28,+11,44,,
5,مس رفسنجان,38,14,16,8,44,35,+9,44,,
6,خونه به خونه,38,14,16,8,39,33,+6,44,,
7,مس کرمان,38,14,13,11,37,33,+4,41,,
8,نساجی مازندران,38,14,11,13,39,39,0,39,,
9,آلومینیوم اراک,38,10,20,8,47,41,+6,40,,
10,نفت مسجد سلیمان,38,10,18,10,39,39,0,38,,
11,گل گهر سیرجان,38,9,20,9,35,34,+1,38,,
12,خیبر خرم آباد,38,11,14,13,42,46,−4,36,,
13,ایرانجوان,37,11,12,14,40,51,−11,34,,
14,فولاد یزد,38,10,14,14,31,38,−7,34,,
15,پارسه تهران,38,8,18,12,44,47,−3,34,,
16,پاس همدان (R),38,10,12,16,34,40,−6,32,سقوط به لیگ دسته دو ۹۶-۱۳۹۵,
17,شهرداری اردبیل (R),38,9,13,16,43,49,−6,31,سقوط به لیگ دسته دو ۹۶-۱۳۹۵,
18,گیتی پسند اصفهان (R),38,8,15,15,26,41,−15,31,سقوط به لیگ دسته دو ۹۶-۱۳۹۵,
19,داماش گیلان (R),38,8,13,17,29,43,−14,29,سقوط به لیگ دسته دو ۹۶-۱۳۹۵,
20,آلومینیوم (R),38,6,14,18,31,51,−20,26,سقوط به لیگ دسته دو ۹۶-۱۳۹۵,
